name,total_reads,counter_oposite_strand_read,counter_grayones,counter_unmapped_read1,counter_unmapped_read2,counter_both_unmapped_read1,counter_both_unmapped_read2,counter_mapped_read1,counter_mapped_read2,counter_ambiguous_read1,counter_ambiguous_read2,sampleID,sum_mapped_unambig_read,prop_mapped_unambig_read,sum_unmapped_read,prop_unmapped_read
B73_P3_C5_Ele_unmerge_bwa_PE,19999470,1020836,2789114,60649,162609,67743,67743,5725727,5625795,2296012,2183242,B73_P3_C5_Ele,12372358,0.618634293808786,358744,0.017937675348396732
B73_P3_C6_Amb_unmerge_bwa_PE,15049426,762112,1786136,51603,142813,26986,26986,4283842,4202649,1935114,1831185,B73_P3_C6_Amb,9248603,0.6145485548751162,248388,0.01650481553249938
B73_P3_C7_Ele_unmerge_bwa_PE,20421748,929644,1802264,79828,175817,65893,65893,5105792,5049211,3664119,3483287,B73_P3_C7_Ele,11084647,0.54278639614983,387431,0.01897149058934622
B73_P4_C2_Amb_unmerge_bwa_PE,19907166,787288,2250092,47912,175126,30364,30364,4720295,4698177,3680389,3487159,B73_P4_C2_Amb,10205760,0.5126676494283516,283766,0.014254464949958221
B73_P4_C4_Ele_unmerge_bwa_PE,15375716,776016,2127566,44492,170873,53521,53521,4589936,4471616,1588139,1500036,B73_P4_C4_Ele,9837568,0.6398120256643658,322407,0.02096858448738257
B73_P4_C5_Ele_unmerge_bwa_PE,18955871,489562,1076895,50249,143448,41344,41344,2368600,2498798,6280229,5965402,B73_P4_C5_Ele,5356960,0.2826016277489966,276385,0.014580443177736333
B73_P4_C7_Ele_unmerge_bwa_PE,15585024,699430,1769706,40215,99481,32866,32866,4197458,4158099,2323927,2230976,B73_P4_C7_Ele,9054987,0.5810056500394225,205428,0.013181115409254422
C123_P1_C1_Amb_unmerge_bwa_PE,15127141,767696,2294859,64176,173704,14181,14181,4494894,4349908,1519047,1434495,C123_P1_C1_Amb,9612498,0.6354471079498764,266242,0.017600285473639732
C123_P1_C2_Amb_unmerge_bwa_PE,8025998,423848,1415256,36445,109265,11977,11977,2479572,2374830,599188,563640,C123_P1_C2_Amb,5278250,0.6576440711796838,169664,0.021139302551533155
C123_P1_C4_Ele_unmerge_bwa_PE,15653507,903692,2585211,70920,221422,32000,32000,4719955,4526677,1324386,1237244,C123_P1_C4_Ele,10150324,0.64843769514397,356342,0.022764355616923415
C123_P1_C5_Ele_unmerge_bwa_PE,10873237,651318,2005303,56014,185890,16172,16172,3590113,3391896,497508,462851,C123_P1_C5_Ele,7633327,0.7020289358173651,274248,0.025222295807587013
C123_P1_C6_Amb_unmerge_bwa_PE,12838288,649300,1952412,59646,159893,16617,16617,3710143,3578198,1387617,1307845,C123_P1_C6_Amb,7937641,0.6182787767340941,252773,0.019688995915966366
C123_P1_C7_Ele_unmerge_bwa_PE,9672652,597534,1711618,48982,157353,15080,15080,3232393,3062050,430459,402103,C123_P1_C7_Ele,6891977,0.7125219639867122,236495,0.024449861320349372
C123_P2_C1_Amb_unmerge_bwa_PE,11574882,598000,2028402,57382,185747,16286,16286,3596970,3416703,857367,801739,C123_P2_C1_Amb,7611673,0.6576026433789994,275701,0.023818903726189174
C123_P2_C2_Amb_unmerge_bwa_PE,8709649,434944,1460773,35777,130949,16390,16390,2757214,2633606,630673,592933,C123_P2_C2_Amb,5825764,0.6688861973657032,199506,0.022906319186915568
C123_P2_C4_Ele_unmerge_bwa_PE,12001454,708032,2176046,57022,185064,17528,17528,3887155,3694955,649744,608380,C123_P2_C4_Ele,8290142,0.6907614694019575,277142,0.023092368641332957
C123_P2_C5_Ele_unmerge_bwa_PE,17925481,1273478,3890491,82084,75902,24885,24885,5467742,5356461,882804,846749,C123_P2_C5_Ele,12097681,0.674887385169748,207756,0.011589981881099871
