gene_id,flag_immuno_gene,flag_diabetes_gene,flag_pseudogene
APCDD1,0,0,0
APCDD1L,0,0,0
APCS,0,0,0
APCandSRP19andZRSR1,0,0,0
APEH,1,0,0
APEX1,0,0,0
APEX2,0,0,0
APH1A,0,0,0
APH1B,0,0,0
API5,0,0,0
API5L1,0,0,0
APIP,0,0,0
APITD1andCORT,0,0,0
APLFandPROKR1,1,0,0
APLN,0,0,0
APLNR,0,0,0
APLP1,0,0,0
APLP2andST14,0,0,0
APOA1,0,0,0
APOA1BP,0,0,0
APOA2,0,0,0
APOA4,0,0,0
APOA5,0,0,0
APOB,0,0,0
APOB48R,0,0,0
APOBEC1,0,0,0
APOBEC2,0,0,0
APOBEC3AandAPOBEC3B,0,0,0
APOBEC3CandAPOBEC3D,0,0,0
APOBEC3F,0,0,0
APOBEC3G,1,0,0
APOBEC3H,0,0,0
APOBEC4,0,0,0
APOC1,0,0,0
APOC1P1,0,0,0
APOC2,0,0,0
APOC3,0,0,0
APOC4,0,0,0
APOD,0,0,0
APOE,0,0,0
APOF,1,0,0
APOH,0,0,0
APOL1,0,0,0
APOL2,0,0,0
APOL3,0,0,0
APOL4,0,0,0
APOL5,0,0,0
APOL6,0,0,0
APOLD1andDDX47,0,0,0
APOM,1,0,0
APOO,0,0,0
APOOL,0,0,0
APP,0,0,0
APPBP2,0,0,0
APPL1,0,0,0
APPL2,0,0,0
APRT,0,0,0
APTX,0,0,0
AQP10,1,0,0
AQP11,0,0,0
AQP12A,1,0,0
AQP12B,1,0,0
AQP2,0,0,0
AQP3,0,0,0
AQP4,0,0,0
AQP5,0,0,0
AQP6,0,0,0
AQP7,0,0,0
AQP7P1,0,0,0
AQP7P2,0,0,0
AQP7P3,0,0,0
AQP7P4,0,0,0
AQP8,0,0,0
AQP9,0,0,0
AQPEP,0,0,0
AQR,0,0,0
AR,0,0,0
ARAF,0,0,0
ARAF3P,0,0,0
ARAP2,0,0,0
ARAP3,0,0,0
ARC,0,0,0
ARCN1,1,0,0
AREG,0,0,0
ARF1,0,0,0
ARF3,0,0,0
ARF4,0,0,0
ARF5,0,0,0
ARF6,0,0,0
ARFGAP1,0,0,0
ARFGEF1,0,0,0
ARFGEF2,0,0,0
ARFIP1andFHDC1,0,0,0
ARFIP2,0,0,0
ARFRP1,1,0,0
ARG1,0,0,0
ARG2,0,0,0
ARGFX,0,0,0
ARGFXP2,0,0,0
ARGLU1,0,0,0
ARHGAP1,1,0,0
ARHGAP10,0,0,0
ARHGAP11A,0,0,0
ARHGAP11B,0,0,0
ARHGAP12,0,0,0
ARHGAP15,0,0,0
ARHGAP17,0,0,0
ARHGAP20,0,0,0
ARHGAP21,0,0,0
ARHGAP22,0,0,0
ARHGAP23,0,0,0
ARHGAP24,0,0,0
ARHGAP25,0,0,0
ARHGAP26,0,0,0
ARHGAP27,0,0,0
ARHGAP28,0,0,0
ARHGAP29,0,0,0
ARHGAP30,1,0,0
ARHGAP31,1,0,0
ARHGAP32,0,0,0
ARHGAP33,0,0,0
ARHGAP36,0,0,0
ARHGAP39,0,0,0
ARHGAP40,0,0,0
ARHGAP42andTMEM133,0,0,0
ARHGAP5,0,0,0
ARHGAP6,0,0,0
ARHGAP9,0,0,0
ARHGDIA,0,0,0
ARHGDIB,0,0,0
ARHGEF1,0,0,0
ARHGEF10,0,0,0
ARHGEF10L,0,0,0
ARHGEF11,0,0,0
ARHGEF12,0,0,0
ARHGEF15,0,0,0
ARHGEF16,0,0,0
ARHGEF17,0,0,0
ARHGEF18,0,0,0
ARHGEF19,0,0,0
ARHGEF2,1,0,0
ARHGEF3,0,0,0
ARHGEF35,0,0,0
ARHGEF37,0,0,0
ARHGEF38,1,0,0
ARHGEF4,0,0,0
ARHGEF5,0,0,0
ARHGEF6,0,0,0
ARHGEF7,0,0,0
ARHGEF9,0,0,0
ARID1A,0,0,0
ARID1B,0,0,0
ARID2,0,0,0
ARID3A,0,0,0
ARID3B,1,0,0
ARID3C,0,0,0
ARID4A,0,0,0
ARID4BandRBM34,0,0,0
ARID5A,0,0,0
ARID5B,1,0,0
ARIH1,0,0,0
ARIH2,1,0,0
ARIH2P1,0,0,0
ARL1,0,0,0
ARL10andHIGD2A,0,0,0
ARL11,0,0,0
ARL13A,0,0,0
ARL13B,0,0,0
ARL14,0,0,0
ARL15,0,0,0
ARL16,0,0,0
ARL17AandARL17B,1,0,0
ARL2BP,0,0,0
ARL2andSNX15,0,0,0
ARL3,0,0,0
ARL4A,0,0,0
ARL4C,0,0,0
ARL4D,0,0,0
ARL4P2,0,0,0
ARL5A,0,0,0
ARL5B,0,0,0
ARL5C,0,0,0
ARL6,0,0,0
ARL6IP1andRPS15A,0,0,0
ARL6IP5,0,0,0
ARL6IP6,0,0,0
ARL8A,0,0,0
ARL8B,0,0,0
ARL9,0,0,0
ARMC1,0,0,0
ARMC10,0,0,0
ARMC2,0,0,0
ARMC3,0,0,0
ARMC4,0,0,0
ARMC5,0,0,0
ARMC6,0,0,0
ARMC7,0,0,0
ARMC8,0,0,0
ARMC9,0,0,0
ARMCX1,0,0,0
ARMCX2,0,0,0
ARMCX3,0,0,0
ARMCX4,0,0,0
ARMCX5_,0,0,0
ARMCX6,0,0,0
ARMS2,0,0,0
ARNT,0,0,0
ARNT2,0,0,0
ARNTL,0,0,0
ARNTL2,0,0,0
ARPC1AandARPC1B,0,0,0
