origin,comp_anno_in,expressed_in,COUNT,PERCENT
4_zseronly,1_all_5_species,3_mel_sim,15,0.026609898882384245
4_zseronly,1_all_5_species,3_yak_san,3,0.005321979776476849
4_zseronly,1_all_5_species,4_mel_only,31,0.05499379102359411
4_zseronly,1_all_5_species,4_san_only,6,0.010643959552953698
4_zseronly,1_all_5_species,4_sim_only,18,0.031931878658861094
4_zseronly,1_all_5_species,4_yak_only,5,0.008869966294128083
4_zseronly,1_all_5_species,4_zser_only,1115,1.9780024835905623
4_zseronly,1_all_5_species,6_other,317,0.5623558630477205
4_zseronly,1_all_5_species,7_not_expressed,1620,2.8738690792974984
4_zseronly,4_zseronly,4_zser_only,1993,3.535568564839454
4_zseronly,4_zseronly,7_not_expressed,2089,3.705871917686713
4_zseronly,6_other,4_mel_only,1,0.0017739932588256165
4_zseronly,6_other,4_san_only,2,0.003547986517651233
4_zseronly,6_other,4_zser_only,161,0.28561291467092426
4_zseronly,6_other,6_other,36,0.06386375731772219
4_zseronly,6_other,7_not_expressed,229,0.4062444562710662
6_other,1_all_5_species,1_all_5,987,1.7509313464608836
6_other,1_all_5_species,2_the4,341,0.6049317012595352
6_other,1_all_5_species,3_mel_sim,132,0.23416711016498137
6_other,1_all_5_species,3_yak_san,15,0.026609898882384245
6_other,1_all_5_species,4_mel_only,116,0.20578321802377153
6_other,1_all_5_species,4_san_only,129,0.22884513038850451
6_other,1_all_5_species,4_sim_only,159,0.282064928153273
6_other,1_all_5_species,4_yak_only,34,0.06031577080007096
6_other,1_all_5_species,4_zser_only,203,0.3601206315416001
6_other,1_all_5_species,6_other,1131,2.0063863757317724
6_other,1_all_5_species,7_not_expressed,2051,3.6384601738513394
6_other,2_the4,2_the4,97,0.1720773461060848
6_other,2_the4,3_mel_sim,18,0.031931878658861094
6_other,2_the4,3_yak_san,16,0.028383892141209864
6_other,2_the4,4_mel_only,21,0.03725385843533795
6_other,2_the4,4_san_only,99,0.17562533262373603
6_other,2_the4,4_sim_only,16,0.028383892141209864
6_other,2_the4,4_yak_only,4,0.007095973035302466
6_other,2_the4,6_other,107,0.18981727869434095
6_other,2_the4,7_not_expressed,364,0.6457335462125244
6_other,3_mel_sim,3_mel_sim,9,0.015965939329430547
6_other,3_mel_sim,4_mel_only,1,0.0017739932588256165
6_other,3_mel_sim,4_sim_only,2,0.003547986517651233
6_other,3_mel_sim,7_not_expressed,50,0.08869966294128083
6_other,3_yak_san,3_yak_san,10,0.017739932588256166
6_other,3_yak_san,4_san_only,5,0.008869966294128083
6_other,3_yak_san,4_yak_only,1,0.0017739932588256165
6_other,3_yak_san,7_not_expressed,99,0.17562533262373603
6_other,4_melonly,4_mel_only,10,0.017739932588256166
6_other,4_melonly,7_not_expressed,118,0.20933120454142273
6_other,4_sanonly,4_san_only,7,0.012417952811779315
6_other,4_sanonly,7_not_expressed,87,0.15433741351782862
6_other,4_simonly,4_sim_only,9,0.015965939329430547
6_other,4_simonly,7_not_expressed,98,0.1738513393649104
6_other,4_yakonly,4_yak_only,2,0.003547986517651233
6_other,4_yakonly,7_not_expressed,78,0.13837147418839807
6_other,4_zseronly,4_zser_only,108,0.19159127195316658
6_other,4_zseronly,7_not_expressed,1244,2.206847613979067
6_other,6_other,3_yak_san,2,0.003547986517651233
6_other,6_other,4_san_only,2,0.003547986517651233
6_other,6_other,4_sim_only,6,0.010643959552953698
6_other,6_other,4_yak_only,1,0.0017739932588256165
6_other,6_other,4_zser_only,8,0.014191946070604932
6_other,6_other,6_other,59,0.10466560227071137
6_other,6_other,7_not_expressed,105,0.18626929217668972
