B52,B52_A B52_B
CG11516,CG11516_A CG11516_B
CG11518,CG11518
CG1152,CG1152
CG11522,CG11522
CG11525,CG11525
CG11526,CG11526
CG11529,CG11529
CG11533,CG11533
CG11534,CG11534
CG11537,CG11537
CG11539,CG11539
CG11546,CG11546
CG11550,CG11550
CG11555,CG11555
CG11556,CG11556
CG11560,CG11560
CG11561,CG11561
CG11562,CG11562
CG11567,CG11567
CG11576,CG11576
CG11577,CG11577
CG11579,CG11579
CG11586,CG11586
CG11590,CG11590
CG11592,CG11592
CG11593,CG11593
CG11594,CG11594
CG11596,CG11596
CG11601,CG11601
CG11604,CG11604
CG11606,CG11606
CG1161,CG1161_A CG1161_B
CG11614,CG11614
CG11617,CG11617
CG11619,CG11619
CG11621,CG11621
CG11622,CG11622
CG11628,CG11628_A CG11628_B
CG1163,CG1163
CG11637,CG11637
CG11638,CG11638
CG11642,CG11642
CG11648,CG11648
CG11652,CG11652
CG11654,CG11654
CG11655,CG11655
CG11658,CG11658
CG11661,CG11661
CG11665,CG11665
CG1167,CG1167
CG11678,CG11678
CG11679,CG11679
CG1168,CG1168
CG11680,CG11680
CG11686,CG11686
CG11695,CG11695
CG11699,CG11699
CG11709,CG11709
CG11710,CG11710_A CG11710_B
CG11711,CG11711_A CG11711_B CG11711_C
CG11715,CG11715
CG1172,CG1172
CG11722,CG11722
CG11723,CG11723
CG11727,CG11727_A CG11727_B
CG11732,CG11732
CG11734,CG11734
CG11737,CG11737
CG11738,CG11738
CG11739,CG11739
CG11742,CG11742
CG11750,CG11750
CG11752,CG11752
CG11753,CG11753
CG11755,CG11755
CG11759,CG11759
CG11760,CG11760
CG11761,CG11761
CG11765,CG11765
CG11768,CG11768
CG11770,CG11770
CG11771,CG11771
CG11775,CG11775
CG11779,CG11779
CG11781,CG11781
CG11783,CG11783
CG11784,CG11784
CG11790,CG11790_A CG11790_B
CG11791,CG11791
CG11796,CG11796
CG11797,CG11797
CG11798,CG11798_A CG11798_B
CG11799,CG11799_A CG11799_B
CG11802,CG11802
CG11804,CG11804
CG11807,CG11807
CG11808,CG11808
CG11820,CG11820
CG11821,CG11821
CG11822,CG11822
CG11836,CG11836
CG11839,CG11839
CG11840,CG11840
CG11844,CG11844
CG11847,CG11847
CG11848,CG11848
CG11851,CG11851
CG11853,CG11853
CG11856,CG11856
CG11857,CG11857
CG11858,CG11858
CG11859,CG11859
CG11866,CG11866
CG11873,CG11873
CG11874,CG11874
CG11876,CG11876_A CG11876_B
CG11877,CG11877
CG11883,CG11883
CG11886,CG11886
CG11887,CG11887
CG11888,CG11888
CG11889,CG11889
CG11891,CG11891
CG11893,CG11893
CG11896,CG11896
CG11899,CG11899
CG11900,CG11900
CG11901,CG11901
CG11902,CG11902
CG11906,CG11906
CG11907,CG11907
CG11919,CG11919
CG11920,CG11920
CG11924,CG11924
CG11927,CG11927
CG1193,CG1193
CG11949,CG11949_A CG11949_B
CG11951,CG11951
CG11956,CG11956
CG11958,CG11958_A CG11958_B
CG11961,CG11961
CG11963,CG11963
CG11964,CG11964
CG11967,CG11967
CG11968,CG11968
CG11970,CG11970
CG11971,CG11971
CG11975,CG11975
CG11980,CG11980
CG11981,CG11981
CG11982,CG11982
CG11983,CG11983
CG11984,CG11984
CG11985,CG11985
CG11987,CG11987
CG11989,CG11989
CG11990,CG11990
CG11992,CG11992
CG11993,CG11993
CG11997,CG11997
CG11999,CG11999
CG1200,CG1200
CG12000,CG12000
CG12001,CG12001
CG12002,CG12002_A CG12002_B
CG12003,CG12003
CG12004,CG12004_A CG12004_B
CG12005,CG12005
CG12006,CG12006_A CG12006_B
CG12007,CG12007
CG12008,CG12008
CG12012,CG12012
CG12013,CG12013
CG12014,CG12014
CG12016,CG12016
CG12018,CG12018
CG12019,CG12019
CG12023,CG12023
CG12024,CG12024
CG12025,CG12025
CG12029,CG12029
CG12030,CG12030
CG12034,CG12034
CG12038,CG12038
CG12042,CG12042
CG12045,CG12045
CG12050,CG12050
CG12051,CG12051
CG12052,CG12052_A CG12052_B CG12052_C CG12052_D CG12052_E CG12052_F CG12052_G CG12052_H
CG12054,CG12054
CG12055,CG12055
CG12056,CG12056
