comparison,FEATURE_ID,dm12279_01h_num_reps,dm12272_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,counts_dm12272_01h_g1,counts_dm12272_01h_g2,counts_dm12272_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,prior_dm12272_01h_g1,prior_dm12272_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,dm12272_01h_sampleprop,dm12272_01h_theta,dm12272_01h_q025,dm12272_01h_q975,dm12272_01h_Bayes_evidence,dm12272_01h_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm12272_High_01h,FBgn0033021,3,3,69,79,8,66,145,14,0.9487179487179491,0.9487179487179491,0.9377777777777779,0.9377777777777779,0.102,0.4662,0.4745,0.3614,0.5899,0.6384,0,0.3128,0.3425,0.2506,0.4545,0.0107,1,1.0604,1.4004,1
dm12279_High_vs_dm12272_High_01h,FBgn0014380,3,3,91,87,22,141,163,43,0.89,0.89,0.8760806916426508,0.8760806916426508,0.5349,0.5112,0.5064,0.4143,0.5991,0.8849,0,0.4638,0.469,0.3914,0.5474,0.4236,0,0.9917,1.0679,1
dm12279_High_vs_dm12272_High_01h,FBgn0028490,3,3,146,121,15,111,117,175,0.946808510638298,0.946808510638298,0.56575682382134,0.56575682382134,0.4296,0.5468,0.5425,0.4565,0.6278,0.3289,0,0.4868,0.4956,0.4113,0.5823,0.9084,0,0.9213,1.0127,1
dm12279_High_vs_dm12272_High_01h,FBgn0039858,3,3,179,115,391,291,245,569,0.42919708029197107,0.42919708029197107,0.4850678733031671,0.4850678733031671,0.3311,0.6088,0.5912,0.5015,0.6739,0.0473,1,0.5429,0.5368,0.4588,0.612,0.3351,0,0.8339,0.9314,1
dm12279_High_vs_dm12272_High_01h,FBgn0035976,3,3,83,76,38,108,132,67,0.807106598984772,0.807106598984772,0.781758957654723,0.781758957654723,0.4702,0.522,0.5079,0.4082,0.6067,0.8664,0,0.45,0.4597,0.3735,0.551,0.3556,0,0.9892,1.0892,1
dm12279_High_vs_dm12272_High_01h,FBgn0054003,3,3,62,91,2,134,139,7,0.9870967741935479,0.9870967741935479,0.975,0.975,0.3084,0.4052,0.42,0.3256,0.5176,0.1062,0,0.4908,0.4845,0.3977,0.5702,0.7118,0,1.1832,1.0358,1
dm12279_High_vs_dm12272_High_01h,FBgn0267828,3,3,128,133,31,202,210,64,0.8938356164383559,0.8938356164383559,0.8655462184873951,0.8655462184873951,0.9022,0.4904,0.4846,0.3995,0.5697,0.7149,0,0.4903,0.4918,0.4183,0.5656,0.8109,0,1.0353,1.0196,1
dm12279_High_vs_dm12272_High_01h,FBgn0036887,3,3,68,125,10,126,228,7,0.9507389162561579,0.9507389162561579,0.980609418282548,0.980609418282548,0.9184,0.3523,0.3755,0.2907,0.467,0.0082,1,0.3559,0.3697,0.3025,0.4442,0.0018,1,1.2986,1.3118,1
dm12279_High_vs_dm12272_High_01h,FBgn0039682,3,3,3789,4059,187,5123,5305,428,0.976726820161792,0.976726820161792,0.9605747973470891,0.9605747973470891,0.7682,0.4828,0.4997,0.4502,0.5502,0.9767,0,0.4913,0.4896,0.4424,0.5376,0.6402,0,1.0019,1.0222,1
dm12279_High_vs_dm12272_High_01h,FBgn0039685,3,3,1062,946,7789,2435,2132,16494,0.204960702255792,0.204960702255792,0.216846303594321,0.216846303594321,0.9922,0.5289,0.5226,0.3689,0.6732,0.7729,0,0.5332,0.5208,0.3855,0.6518,0.7513,0,0.9669,0.9678,1
dm12279_High_vs_dm12272_High_01h,FBgn0000064,3,3,1475,1356,1590,951,911,3593,0.640352861343587,0.640352861343587,0.341338221814849,0.341338221814849,0.9151,0.521,0.5156,0.395,0.6344,0.7971,0,0.5107,0.5071,0.4012,0.6151,0.8911,0,0.9762,0.9918,1
dm12279_High_vs_dm12272_High_01h,FBgn0085453,3,3,154,162,2,188,194,11,0.993710691823899,0.993710691823899,0.972010178117048,0.972010178117048,0.9904,0.4873,0.4912,0.4081,0.5768,0.8209,0,0.4921,0.4908,0.4141,0.5657,0.8127,0,1.0217,1.0218,1
dm12279_High_vs_dm12272_High_01h,FBgn0033760,3,3,82,68,9,37,35,232,0.9433962264150941,0.9433962264150941,0.23684210526315802,0.23684210526315802,0.6727,0.5467,0.5424,0.4448,0.6358,0.37200000000000005,0,0.5139,0.5102,0.3952,0.6236,0.8664,0,0.9223,0.9865,1
dm12279_High_vs_dm12272_High_01h,FBgn0286818,3,3,296,307,140,35,4,1082,0.81157469717362,0.81157469717362,0.0347903657448706,0.0347903657448706,0.0002,0.4909,0.4982,0.4236,0.575,0.9496,0,0.8974,0.7661,0.6436,0.8639,0.0,1,1.0066,0.5521,1
dm12279_High_vs_dm12272_High_01h,FBgn0002622,3,3,627,905,3273,1739,2174,4955,0.31883454734651395,0.31883454734651395,0.44124943617501095,0.44124943617501095,0.8831,0.4093,0.4469,0.3181,0.59,0.4147,0,0.4444,0.4587,0.3452,0.5784,0.4687,0,1.1257,1.0956,1
dm12279_High_vs_dm12272_High_01h,FBgn0260753,3,3,62,74,11,126,153,20,0.925170068027211,0.925170068027211,0.933110367892977,0.933110367892977,0.9884,0.4559,0.462,0.3588,0.568,0.4647,0,0.4516,0.4629,0.377,0.5534,0.3729,0,1.0864,1.0821,1
