comparison,FEATURE_ID,dm12272_38d_num_reps,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,flaganalyze
dm12272_38d,FBgn0036773,3,132,130,84,0.7572254335260121,0.7572254335260121,NA,0.5038,0.5069,0.4126,0.6015,0.8796,0,0.9909,1
dm12272_38d,FBgn0039126,3,154,138,44,0.869047619047619,0.869047619047619,NA,0.5274,0.5206,0.4229,0.6157,0.6525,0,0.9640000000000001,1
dm12272_38d,FBgn0040608,3,49,34,39,0.680327868852459,0.680327868852459,NA,0.5904,0.5718,0.4556,0.6813,0.2162,0,0.8699,1
dm12272_38d,FBgn0040609,3,1857,2137,1076,0.787771203155819,0.787771203155819,NA,0.4649,0.4754,0.3906,0.5633,0.5457,0,1.0549,1
dm12272_38d,FBgn0026749,3,134,144,228,0.549407114624506,0.549407114624506,NA,0.48200000000000004,0.4852,0.402,0.5696,0.7191,0,1.0342,1
dm12272_38d,FBgn0267791,3,250,195,166,0.728314238952537,0.728314238952537,NA,0.5618,0.5608,0.4842,0.6337,0.1107,0,0.8871,1
dm12272_38d,FBgn0026741,3,226,230,25,0.948024948024948,0.948024948024948,NA,0.4956,0.4882,0.4109,0.5654,0.7586,0,1.0272,1
dm12272_38d,FBgn0047038,3,2222,837,942,0.7645588602849291,0.7645588602849291,NA,0.7264,0.7146,0.6642,0.7558,0.0,1,0.6321,1
dm12272_38d,FBgn0032731,3,108,121,38,0.8576779026217229,0.8576779026217229,NA,0.4716,0.4753,0.3874,0.5657,0.5755,0,1.0555,1
dm12272_38d,FBgn0031356,3,196,196,48,0.890909090909091,0.890909090909091,NA,0.5,0.5006,0.4153,0.5854,0.9856,0,1.0025,1
dm12272_38d,FBgn0010340,3,139,117,2,0.9922480620155041,0.9922480620155041,NA,0.5429999999999999,0.539,0.4524,0.6235,0.3552,0,0.9278,1
dm12272_38d,FBgn0010341,3,125,166,340,0.46117274167987304,0.46117274167987304,NA,0.4296,0.4471,0.3353,0.5684,0.3616,0,1.1218,1
dm12272_38d,FBgn0037288,3,8117,7805,958,0.9432464454976299,0.9432464454976299,NA,0.5098,0.5024,0.4498,0.5546,0.9185,0,0.9965,1
dm12272_38d,FBgn0050185,3,217,186,58,0.874186550976139,0.874186550976139,NA,0.5385,0.5434,0.4478,0.6343,0.3378,0,0.9201,1
dm12272_38d,FBgn0050183,3,116,20,8,0.944444444444444,0.944444444444444,NA,0.8529,0.7692,0.622,0.856,0.0051,1,0.5478,1
dm12272_38d,FBgn0085432,3,22,9,652,0.0453879941434846,0.0453879941434846,NA,0.7097,0.6301,0.4804,0.7638,0.0856,0,0.7709999999999999,1
dm12272_38d,FBgn0085434,3,48,11,87,0.40410958904109595,0.40410958904109595,NA,0.8136,0.7216,0.5997,0.8199,0.0018,1,0.6219,1
dm12272_38d,FBgn0085437,3,80,77,92,0.630522088353414,0.630522088353414,NA,0.5096,0.5065,0.3998,0.6119,0.9009999999999999,0,0.9927,1
dm12272_38d,FBgn0032078,3,146,126,29,0.9036544850498341,0.9036544850498341,NA,0.5368,0.531,0.4482,0.6116,0.4453,0,0.9427,1
dm12272_38d,FBgn0032079,3,80,92,271,0.3882618510158011,0.3882618510158011,NA,0.4651,0.4715,0.3718,0.5738,0.568,0,1.065,1
dm12272_38d,FBgn0032076,3,1069,1411,374,0.8689558514365799,0.8689558514365799,NA,0.431,0.4315,0.3672,0.5004,0.0511,0,1.1512,1
dm12272_38d,FBgn0032077,3,131,74,2,0.990338164251208,0.990338164251208,NA,0.639,0.6199,0.5166,0.7085,0.0282,1,0.7854,1
dm12272_38d,FBgn0032074,3,148,157,311,0.49512987012987003,0.49512987012987003,NA,0.4852,0.4936,0.4111,0.5782,0.8726,0,1.0166,1
dm12272_38d,FBgn0032075,3,860,859,579,0.7480417754569191,0.7480417754569191,NA,0.5003,0.5003,0.4464,0.5539,0.9869,0,1.0008,1
dm12272_38d,FBgn0004876,3,267,206,144,0.766612641815235,0.766612641815235,NA,0.5645,0.5543,0.4628,0.6403,0.2214,0,0.8997,1
dm12272_38d,FBgn0004875,3,47,56,167,0.38148148148148103,0.38148148148148103,NA,0.4563,0.4669,0.3499,0.5893,0.5754,0,1.0778,1
dm12272_38d,FBgn0023215,3,98,78,861,0.169720347155255,0.169720347155255,NA,0.5568,0.5477,0.4547,0.6377,0.3035,0,0.9121,1
dm12272_38d,FBgn0023212,3,498,494,546,0.6449934980494151,0.6449934980494151,NA,0.502,0.4986,0.419,0.5784,0.9721,0,1.0061,1
dm12272_38d,FBgn0023213,3,948,9,2875,0.24973903966597102,0.24973903966597102,NA,0.9906,0.6361,0.3916,0.8449,0.2712,0,0.7695,1
dm12272_38d,FBgn0263352,3,115,186,2158,0.122407482716551,0.122407482716551,NA,0.3821,0.3954,0.3191,0.4791,0.0179,1,1.2429,1
dm12272_38d,FBgn0001218,3,2175,969,1637,0.6576030119221921,0.6576030119221921,NA,0.6918,0.6616,0.5508,0.7448,0.0105,1,0.7168,1
dm12272_38d,FBgn0262582,3,80,70,633,0.19157088122605398,0.19157088122605398,NA,0.5333,0.529,0.4377,0.6182,0.5236,0,0.9472,1
dm12272_38d,FBgn0039938,3,188,109,711,0.294642857142857,0.294642857142857,NA,0.633,0.6153,0.5304,0.6913,0.0113,1,0.7923,1
dm12272_38d,FBgn0039932,3,245,3,49,0.835016835016835,0.835016835016835,NA,0.9879,0.626,0.3784,0.847,0.3126,0,0.7877,1
dm12272_38d,FBgn0001624,3,151,119,716,0.27383367139959397,0.27383367139959397,NA,0.5593,0.5536,0.4698,0.6341,0.1969,0,0.9005,1
dm12272_38d,FBgn0001330,3,27,40,34,0.663366336633663,0.663366336633663,NA,0.40299999999999997,0.431,0.3145,0.5547,0.2652,0,1.1609,1
dm12272_38d,FBgn0033971,3,96,2,77,0.56,0.56,NA,0.9796,0.7642,0.4792,0.9151,0.0679,0,0.5569,1
dm12272_38d,FBgn0011817,3,243,116,225,0.61472602739726,0.61472602739726,NA,0.6769,0.6442,0.5337,0.7343,0.0158,1,0.7453,1
dm12272_38d,FBgn0263231,3,197,134,1996,0.142243231628706,0.142243231628706,NA,0.5952,0.5770000000000001,0.4868,0.66,0.0881,0,0.8586,1
dm12272_38d,FBgn0263234,3,239,177,10,0.976525821596244,0.976525821596244,NA,0.5745,0.5669,0.489,0.6396,0.0877,0,0.8761,1
dm12272_38d,FBgn0010416,3,116,119,13,0.94758064516129,0.94758064516129,NA,0.4936,0.4951,0.4072,0.584,0.9116,0,1.0142,1
dm12272_38d,FBgn0263236,3,105,125,9,0.9623430962343101,0.9623430962343101,NA,0.4565,0.4572,0.3601,0.5572,0.3727,0,1.0961,1
dm12272_38d,FBgn0263237,3,91,74,14,0.9217877094972071,0.9217877094972071,NA,0.5515,0.5387,0.4353,0.6371,0.446,0,0.9298,1
dm12272_38d,FBgn0040372,3,141,145,288,0.498257839721254,0.498257839721254,NA,0.493,0.517,0.409,0.6254,0.7485,0,0.9722,1
dm12272_38d,FBgn0024188,3,531,515,49,0.955251141552512,0.955251141552512,NA,0.5076,0.5157,0.4448,0.5861,0.6384,0,0.9713,1
dm12272_38d,FBgn0053203,3,57,53,17,0.8661417322834649,0.8661417322834649,NA,0.5182,0.5168,0.4073,0.6255,0.7573,0,0.9727,1
dm12272_38d,FBgn0038881,3,84,57,113,0.55511811023622,0.55511811023622,NA,0.5957,0.5667,0.4585,0.6655,0.20800000000000002,0,0.8783,1
dm12272_38d,FBgn0024187,3,98,38,149,0.47719298245614,0.47719298245614,NA,0.7206,0.6793,0.5832,0.7622,0.0012,1,0.6883,1
dm12272_38d,FBgn0053208,3,20,36,349,0.138271604938272,0.138271604938272,NA,0.3571,0.4035,0.2795,0.5396,0.1561,0,1.2324,1
