Sample_id,basic_stats,base_qual,seq_qual,base_content,base_GC,seq_GC,base_N,seq_length,seq_dup,seq_overrep,kmer,percent_pass
4a-K27_S96_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
2d-I_S127_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,WARN,PASS,72.72
1d-K4_S104_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
1b-I_S100_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
2a-I_S112_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
2c-K4_S116_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
5a-I_S118_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,WARN,PASS,PASS,63.63
4a-K27_S96_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,PASS,81.81
6d-K4_S158_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,WARN,81.81
5a-K27_S120_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,81.81
1b-K4_S101_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,PASS,81.81
2d-K4_S128_L004_R2_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,81.81
2b-I_S124_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,81.81
1c-K27_S93_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
1d-K27_S105_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
2d-I_S127_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,WARN,PASS,72.72
